Loan Amount,Interest Rate,Income,Credit Score,Loan Term,Property Value,Debt-to-Income Ratio,Loan-to-Value,Income-to-Loan Ratio,Monthly Payment,Interest Burden,Credit Score Category,High Risk Flag,Employment Type,Loan Purpose,Marital Status,Dependents,Approved
180529.38,3,68697.24,825,13,217293.25,0.26,0.831,0.381,1398.96,0.244,Excellent,0,Salaried,Refinancing,Married,0,1
208956.85,4.18,74196.57,788,18,216499.25,0.13,0.965,0.355,1378.21,0.223,Very Good,0,Unemployed,Home Purchase,Single,1,1
265762.97,6,89551.32,652,12,183011.79,0.34,1.452,0.337,2593.45,0.348,Fair,0,Salaried,Home Improvement,Single,1,0
211883.7,6,78780.67,669,11,192139.69,0.24,1.103,0.372,2196.61,0.335,Fair,0,Salaried,Home Purchase,Married,2,0
159291.02,3.63,105472.77,494,13,257424.4,0.31,0.619,0.662,1282.45,0.146,Poor,0,Unemployed,Home Purchase,Married,2,0
184970.41,3.02,87590.94,611,10,213793.54,0.16,0.865,0.474,1788.13,0.245,Fair,0,Salaried,Home Purchase,Married,1,1
255389.01,5.19,46181.35,648,10,282952.03,0.27,0.903,0.181,2731.97,0.71,Fair,0,Salaried,Home Purchase,Single,1,0
203903.2,3.73,106002.53,616,19,150000,0.19,1.359,0.52,1249.3,0.141,Fair,0,Salaried,Home Improvement,Married,0,1
130838.55,6,98093.09,742,13,248270.09,0.22,0.527,0.75,1209.89,0.148,Very Good,0,Self-employed,Home Purchase,Single,3,1
221690.69,5.14,49489.8,637,19,251842.1,0.41,0.88,0.223,1525.36,0.37,Fair,0,Self-employed,Home Purchase,Married,1,1
167811.18,3,103194.88,539,13,247154.52,0.18,0.679,0.615,1300.4,0.151,Poor,0,Unemployed,Home Purchase,Married,0,1
142547.63,3,81918.26,637,19,150000,0.36,0.95,0.575,820.99,0.12,Fair,0,Salaried,Refinancing,Married,2,0
204232.39,3,45039.95,607,20,267021.94,0.27,0.765,0.221,1132.67,0.302,Fair,0,Salaried,Home Purchase,Single,3,0
157935.79,3.01,87250.1,659,13,150000,0.35,1.053,0.552,1224.99,0.168,Fair,0,Salaried,Refinancing,Married,1,1
240630.58,4.14,70615.23,620,24,223412.18,0.1,1.077,0.293,1320.07,0.224,Fair,0,Salaried,Home Purchase,Divorced,2,1
204502.33,5.01,63180.87,666,18,298538.07,0.34,0.685,0.309,1438.37,0.273,Fair,0,Salaried,Home Purchase,Married,1,0
267195.31,3,55318.93,710,15,233784.11,0.43,1.143,0.207,1845.2,0.4,Good,0,Self-employed,Home Improvement,Married,1,0
217355.83,3,78173.52,721,15,213047.45,0.35,1.02,0.36,1501.02,0.23,Good,0,Retired,Home Improvement,Married,0,0
175134.52,3,93459.87,637,15,299504.94,0.18,0.585,0.534,1209.45,0.155,Fair,0,Self-employed,Home Purchase,Single,0,0
174487.63,3.55,93441.39,591,15,190416.56,0.29,0.916,0.536,1251.45,0.161,Fair,0,Self-employed,Home Purchase,Single,1,0
181930.41,5.17,75276.07,783,12,312359.54,0.2,0.582,0.414,1697.76,0.271,Very Good,0,Unemployed,Home Purchase,Married,1,1
224680.72,3,74775.3,557,10,269122.91,0.31,0.835,0.333,2169.53,0.348,Poor,0,Salaried,Home Purchase,Single,1,1
127916.01,4.98,86578.47,727,19,170683.28,0.43,0.749,0.677,869.11,0.12,Good,0,Salaried,Home Purchase,Married,2,1
213659.09,3.41,96830.01,444,16,167937.24,0.38,1.272,0.453,1445.67,0.179,Poor,0,Self-employed,Refinancing,Single,1,0
154027.7,3,65192.87,519,17,258542.3,0.37,0.596,0.423,964.79,0.178,Poor,0,Retired,Home Purchase,Married,1,1
312005.05,3.68,51493.87,568,14,389715.98,0.22,0.801,0.165,2378.94,0.554,Poor,0,Salaried,Home Purchase,Single,1,0
227631.59,3.86,64705.14,626,10,317730.68,0.29,0.716,0.284,2289.38,0.425,Fair,0,Salaried,Home Purchase,Married,0,0
232549.91,6,40000,691,12,306833.13,0.29,0.758,0.172,2269.34,0.681,Good,0,Retired,Home Improvement,Single,0,0
203648.89,4.84,56319.52,659,21,244429.38,0.24,0.833,0.277,1288.58,0.275,Fair,0,Salaried,Home Purchase,Married,0,0
120245.03,3,92490.39,659,10,243861.19,0.34,0.493,0.769,1161.09,0.151,Fair,0,Unemployed,Home Purchase,Single,3,1
200929.25,6,68864.1,718,25,215618.78,0.29,0.932,0.343,1294.59,0.226,Good,0,Self-employed,Home Purchase,Divorced,1,1
219542.13,6,90479.02,844,10,310154.98,0.32,0.708,0.412,2437.37,0.323,Excellent,0,Self-employed,Refinancing,Married,0,0
171464.02,3,98104,850,18,222843.97,0.15,0.769,0.572,1028.31,0.126,Excellent,0,Self-employed,Home Improvement,Married,2,1
196155.83,3,84409.03,554,15,349167.89,0.28,0.562,0.43,1354.62,0.193,Poor,0,Salaried,Home Purchase,Married,1,0
231562.06,3.29,109679.14,611,15,203384.93,0.19,1.139,0.474,1631.94,0.179,Fair,0,Unemployed,Refinancing,Single,1,0
205576.75,3,103758.24,513,15,386592.88,0.33,0.532,0.505,1419.68,0.164,Poor,0,Retired,Home Purchase,Married,3,1
213594.82,5.36,100191.63,756,13,202422.02,0.32,1.055,0.469,1903.78,0.228,Very Good,0,Salaried,Refinancing,Single,1,1
226253.61,5.32,89111.31,578,19,220707.55,0.41,1.025,0.394,1579.55,0.213,Poor,1,Salaried,Home Purchase,Married,0,0
261759.09,4.64,102579.02,758,10,295174.89,0.37,0.887,0.392,2730.01,0.319,Very Good,0,Salaried,Home Purchase,Single,1,1
158324.92,3.77,74670.26,670,17,327344.64,0.41,0.484,0.472,1052.56,0.169,Good,0,Salaried,Home Purchase,Single,0,1
296978.4,4.66,106829.38,715,12,344010.58,0.29,0.863,0.36,2696.09,0.303,Good,0,Unemployed,Other,Single,0,0
296862.64,3.74,86573.43,758,16,163909.59,0.32,1.811,0.292,2056.56,0.285,Very Good,0,Unemployed,Refinancing,Married,3,1
172321.46,3.62,65308.19,694,12,202809.77,0.4,0.85,0.379,1477.52,0.271,Good,0,Self-employed,Home Purchase,Single,0,0
233614.49,4,72003.03,438,17,298912.96,0.1,0.782,0.308,1579.95,0.263,Poor,0,Unemployed,Home Purchase,Single,1,1
291090.94,4.51,57264.87,563,10,210246.43,0.1,1.385,0.197,3018.85,0.633,Poor,0,Unemployed,Refinancing,Married,1,0
272029.28,4.92,73060.64,787,13,300137.48,0.29,0.906,0.269,2363.6,0.388,Very Good,0,Salaried,Home Purchase,Married,0,1
114119.68,3,62546.31,688,14,272046.29,0.23,0.419,0.548,832.73,0.16,Good,0,Salaried,Home Purchase,Divorced,2,1
192322.86,3.99,75963.46,727,27,360888.03,0.3,0.533,0.395,970.8,0.153,Good,0,Self-employed,Home Improvement,Married,0,0
174843.11,4.3,99572,637,17,358114.44,0.34,0.488,0.569,1209.3,0.146,Fair,0,Salaried,Refinancing,Married,0,1
242803.25,4.16,59484.51,822,14,357235.07,0.19,0.68,0.245,1909.31,0.385,Excellent,0,Self-employed,Home Purchase,Single,2,0
247284.91,3,82761.54,823,17,255349.25,0.29,0.968,0.335,1548.93,0.225,Excellent,0,Salaried,Home Purchase,Married,0,1
140916.42,4.03,58216.65,711,11,238143.05,0.3,0.592,0.413,1323.61,0.273,Good,0,Unemployed,Home Purchase,Single,0,1
164640.39,3.62,77094.64,660,21,243802.36,0.31,0.675,0.468,933.69,0.145,Fair,0,Salaried,Refinancing,Single,0,1
121273.31,3,46517.82,628,17,165357.55,0.44,0.733,0.384,759.63,0.196,Fair,0,Salaried,Home Purchase,Married,1,0
195579.7,5.14,42451.2,641,18,223962.07,0.31,0.873,0.217,1390.02,0.393,Fair,0,Salaried,Home Purchase,Single,2,1
185611.47,5.5,92936.05,651,16,302481.97,0.1,0.614,0.501,1455.43,0.188,Fair,0,Salaried,Home Purchase,Single,0,1
223234.54,4.72,56030.44,730,17,213139.6,0.36,1.047,0.251,1593.86,0.341,Good,0,Unemployed,Home Purchase,Married,1,0
290229.94,3,91273.65,683,16,245402.68,0.32,1.183,0.314,1905.17,0.25,Good,0,Unemployed,Home Purchase,Single,3,1
213383.37,3,104844.33,498,13,150000,0.27,1.423,0.491,1653.55,0.189,Poor,0,Self-employed,Refinancing,Married,1,0
185044.62,6,50698.44,732,24,328266.94,0.31,0.564,0.274,1213.85,0.287,Good,0,Retired,Home Purchase,Married,0,0
240198.89,6,87066.41,571,13,308570.26,0.37,0.778,0.362,2221.18,0.306,Poor,0,Retired,Home Purchase,Single,2,1
182442.49,5.18,55339.22,542,17,388321.19,0.46,0.47,0.303,1347.08,0.292,Poor,0,Self-employed,Home Purchase,Married,0,1
191009.84,3,100451.2,653,12,317866.49,0.3,0.601,0.526,1581.15,0.189,Fair,0,Salaried,Refinancing,Married,0,1
208696.22,5.28,90739.03,837,12,305617.83,0.5,0.683,0.435,1959.74,0.259,Excellent,0,Self-employed,Home Improvement,Single,0,1
140451.53,6,80187.94,803,10,253347.49,0.46,0.554,0.571,1559.3,0.233,Excellent,0,Retired,Home Purchase,Single,2,0
184579.22,6,111388.46,767,17,150000,0.3,1.231,0.603,1445.44,0.156,Very Good,0,Self-employed,Home Purchase,Single,1,0
160073.1,3,93357.74,503,10,150000,0.31,1.067,0.583,1545.68,0.199,Poor,0,Salaried,Refinancing,Divorced,2,1
240348.05,6,75694.61,725,12,384653.59,0.3,0.625,0.315,2345.44,0.372,Good,0,Salaried,Refinancing,Single,2,0
148520.55,3,90446.93,614,10,291434.57,0.22,0.51,0.609,1434.13,0.19,Fair,0,Unemployed,Home Purchase,Single,0,1
153020.36,6,84721.84,595,23,239342.19,0.25,0.639,0.554,1023.47,0.145,Fair,0,Self-employed,Home Purchase,Married,1,1
164487.18,3.55,68503.93,541,17,150000,0.1,1.097,0.416,1075.37,0.188,Poor,0,Salaried,Home Improvement,Married,1,1
160858.88,5.25,88671.62,420,22,296901.06,0.47,0.542,0.551,1029.06,0.139,Poor,0,Salaried,Home Purchase,Single,2,0
283681.5,3,100977.81,692,16,315824.67,0.16,0.898,0.356,1862.18,0.221,Good,0,Salaried,Refinancing,Single,0,0
254229.59,5.88,66372.53,646,14,322490.83,0.26,0.788,0.261,2223.82,0.402,Fair,0,Salaried,Home Purchase,Single,2,1
224493.23,3,101757.54,653,21,316074.64,0.31,0.71,0.453,1201.81,0.142,Fair,0,Salaried,Refinancing,Single,1,1
179672.73,3,79386.22,632,18,339732.18,0.36,0.529,0.442,1077.54,0.163,Fair,0,Self-employed,Home Purchase,Single,0,1
196811.83,6,40000,639,17,232479.1,0.5,0.847,0.203,1541.23,0.462,Fair,0,Salaried,Home Purchase,Single,1,0
278970.75,3,56907.07,652,10,207669.02,0.32,1.343,0.204,2693.76,0.568,Fair,0,Self-employed,Home Purchase,Single,3,0
184520.46,3.09,84306.18,656,18,272442.45,0.41,0.677,0.457,1114.39,0.159,Fair,0,Self-employed,Home Purchase,Married,3,0
146288.9,6,86194,844,13,193814.16,0.17,0.755,0.589,1352.77,0.188,Excellent,0,Salaried,Home Purchase,Married,1,1
240833.92,4.82,88749.71,668,10,270420.64,0.24,0.891,0.369,2533.77,0.343,Fair,0,Self-employed,Home Purchase,Married,1,1
188229.57,5.26,70476.49,675,21,150000,0.31,1.255,0.374,1235.08,0.21,Good,0,Salaried,Home Purchase,Married,2,1
191327.24,3.5,120000,562,10,244092.67,0.33,0.784,0.627,1892.24,0.189,Poor,0,Salaried,Home Improvement,Married,0,1
188755,3,97970.33,721,12,308520.41,0.12,0.612,0.519,1562.49,0.191,Good,0,Salaried,Home Purchase,Single,0,1
192261.89,4.03,90711.39,529,14,352245.52,0.25,0.546,0.472,1499.44,0.198,Poor,0,Self-employed,Home Improvement,Married,0,1
224849.11,3.44,74172.23,684,10,269901.53,0.43,0.833,0.33,2217.11,0.359,Good,0,Self-employed,Home Purchase,Single,2,1
184760.23,3.45,40519.54,783,14,289984.28,0.17,0.637,0.219,1388.65,0.411,Very Good,0,Unemployed,Home Purchase,Single,1,0
215419.02,3.95,111579.99,737,20,254860.67,0.47,0.845,0.518,1299.54,0.14,Good,0,Retired,Home Purchase,Married,2,0
252195.62,4.77,65690.36,603,16,314431.66,0.3,0.802,0.26,1880.25,0.343,Fair,0,Self-employed,Home Purchase,Married,2,0
273893.54,3.17,80571.95,592,17,247322.76,0.25,1.107,0.294,1738.51,0.259,Fair,0,Self-employed,Home Purchase,Married,0,1
154870.07,4.93,98337.69,788,10,301409.43,0.37,0.514,0.635,1637.46,0.2,Very Good,0,Self-employed,Home Improvement,Single,0,1
251038.33,6,80693.48,636,11,176893.11,0.34,1.419,0.321,2602.52,0.387,Fair,0,Salaried,Home Purchase,Single,0,1
256659.18,4.99,93179.89,696,10,172998.16,0.25,1.484,0.363,2720.99,0.35,Good,0,Self-employed,Home Improvement,Married,1,1
263064.53,6,50782.27,718,10,268095.41,0.22,0.981,0.193,2920.56,0.69,Good,0,Salaried,Home Purchase,Married,3,1
202461.05,5.75,63851.51,653,16,284668.68,0.47,0.711,0.315,1615.1,0.304,Fair,0,Salaried,Home Purchase,Married,0,1
188040.62,5.68,86852.7,608,15,189480.21,0.32,0.992,0.462,1554.97,0.215,Fair,0,Unemployed,Home Purchase,Divorced,0,0
122760.98,3.37,75832.69,693,13,273277.87,0.36,0.449,0.618,972.89,0.154,Good,0,Salaried,Home Purchase,Married,0,1
204964.93,5.7,78599.45,617,10,185759.75,0.22,1.103,0.383,2245.02,0.343,Fair,0,Self-employed,Home Improvement,Single,2,0
289110.27,4.25,51970.66,696,13,224789.24,0.4,1.286,0.18,2415.71,0.558,Good,0,Self-employed,Home Purchase,Married,1,1
215715.55,6,97928.64,671,11,301584,0.45,0.715,0.454,2236.33,0.274,Good,0,Unemployed,Home Purchase,Married,2,0
189213.05,6,82016.8,670,14,267626.89,0.39,0.707,0.433,1667.41,0.244,Good,0,Retired,Home Purchase,Married,1,0
229010.45,5.59,87387.98,793,15,150000,0.22,1.527,0.382,1881.61,0.258,Very Good,0,Salaried,Home Improvement,Married,2,1
140675.4,4.6,67637.11,585,12,343092.41,0.37,0.41,0.481,1273.26,0.226,Fair,0,Self-employed,Home Purchase,Single,0,0
186353.12,4.79,93910.42,667,18,226722.43,0.47,0.822,0.504,1289.47,0.165,Fair,0,Salaried,Home Purchase,Single,2,1
240746.41,4.6,54336.8,595,15,150000,0.37,1.605,0.226,1853.47,0.409,Fair,0,Self-employed,Home Purchase,Married,1,0
227946.28,3.06,82561.03,665,20,285817.75,0.22,0.798,0.362,1270.49,0.185,Fair,0,Salaried,Home Purchase,Single,2,0
174987.83,3,61725.83,763,10,273445.56,0.25,0.64,0.353,1689.7,0.328,Very Good,0,Retired,Home Purchase,Married,1,1
289184,5.22,49321.38,654,12,182892.92,0.12,1.581,0.171,2706.97,0.659,Fair,0,Self-employed,Refinancing,Single,2,0
127017.5,3.23,56404.81,640,21,243560.58,0.39,0.522,0.444,694.87,0.148,Fair,0,Salaried,Refinancing,Married,3,1
215663.63,4.64,80326.57,494,11,350969.59,0.5,0.614,0.372,2089.49,0.312,Poor,0,Salaried,Home Purchase,Married,3,1
242338.12,3.7,93797.58,628,16,293841.61,0.25,0.825,0.387,1673.95,0.214,Fair,0,Salaried,Home Purchase,Single,1,1
261768.17,3,48510.99,605,20,386007.39,0.34,0.678,0.185,1451.76,0.359,Fair,0,Unemployed,Home Improvement,Married,2,0
206097.05,3.22,120000,511,18,281523.27,0.46,0.732,0.582,1258.27,0.126,Poor,0,Salaried,Home Purchase,Married,1,0
238289.92,6,73029.49,607,16,266369.7,0.34,0.895,0.306,1933.57,0.318,Fair,0,Retired,Home Purchase,Married,2,1
200213.29,3.23,73281.72,673,19,356040.87,0.24,0.562,0.366,1175.66,0.193,Good,0,Unemployed,Home Purchase,Married,0,1
283423.83,3.26,63422.32,709,11,192982.94,0.41,1.469,0.224,2558.51,0.484,Good,0,Salaried,Home Purchase,Single,1,0
216144.91,3,59554.96,812,10,238485.62,0.21,0.906,0.276,2087.11,0.421,Excellent,0,Retired,Home Purchase,Single,1,1
257998.54,4.57,59420.4,666,15,307915.81,0.23,0.838,0.23,1983.05,0.4,Fair,0,Salaried,Home Purchase,Married,0,0
142219.41,3.86,105145.54,850,12,260350.93,0.13,0.546,0.739,1235.64,0.141,Excellent,0,Unemployed,Home Purchase,Single,0,1
194306.36,3,80675.41,604,14,323278.07,0.2,0.601,0.415,1417.84,0.211,Fair,0,Salaried,Home Purchase,Single,2,0
226973.6,6,56685.11,602,11,255389.65,0.37,0.889,0.25,2353.04,0.498,Fair,0,Self-employed,Home Purchase,Single,1,0
226530.36,3,89099.72,834,25,312407.45,0.26,0.725,0.393,1074.23,0.145,Excellent,0,Self-employed,Other,Single,0,0
171584.19,3,90953.22,564,10,190037.79,0.36,0.903,0.53,1656.83,0.219,Poor,0,Salaried,Home Purchase,Divorced,2,1
106959.76,3.77,104457.62,629,12,242651.65,0.48,0.441,0.977,924.31,0.106,Fair,0,Self-employed,Home Purchase,Single,0,1
111992.55,5.39,40000,647,10,198826.4,0.31,0.563,0.357,1209.58,0.363,Fair,0,Retired,Home Purchase,Married,1,0
152631.47,3.28,92640.77,663,25,215780.44,0.25,0.707,0.607,746.18,0.097,Fair,0,Salaried,Refinancing,Married,1,0
339370.81,3.22,106056.48,568,12,150000,0.47,2.262,0.313,2844.99,0.322,Poor,1,Salaried,Home Purchase,Married,2,0
100000,4.48,63709.5,671,23,215455.57,0.32,0.464,0.637,581.3,0.109,Good,0,Salaried,Home Improvement,Married,0,1
191621.13,3.54,120000,794,22,294422.28,0.36,0.651,0.626,1045.75,0.105,Very Good,0,Unemployed,Home Purchase,Single,0,0
185301.93,3,84246.57,731,14,162558.88,0.29,1.14,0.455,1352.14,0.193,Good,0,Salaried,Other,Single,0,1
202108.04,6,56785.61,704,20,150000,0.15,1.347,0.281,1447.96,0.306,Good,0,Unemployed,Home Purchase,Married,0,0
195878.9,5.16,73592.83,686,18,193619.54,0.3,1.012,0.376,1394.46,0.227,Good,0,Salaried,Home Improvement,Single,1,0
150980.17,5.57,80441.68,474,18,150000,0.34,1.007,0.533,1108.68,0.165,Poor,0,Self-employed,Home Purchase,Single,0,0
250945.45,4.53,91661.51,538,13,351399.1,0.26,0.714,0.365,2131.28,0.279,Poor,0,Self-employed,Refinancing,Married,3,1
118424.51,4.09,40000,794,16,217149.87,0.31,0.545,0.338,841.38,0.252,Very Good,0,Self-employed,Home Purchase,Single,0,1
293495.43,6,89055.95,641,22,342823.19,0.37,0.856,0.303,2004.79,0.27,Fair,0,Salaried,Home Purchase,Married,0,1
222589.45,3.13,88531.94,721,13,267303.1,0.26,0.833,0.398,1739.02,0.236,Good,0,Unemployed,Home Improvement,Married,3,1
154425.53,5.01,59474.55,661,15,252531.16,0.28,0.612,0.385,1221.65,0.246,Fair,0,Self-employed,Home Improvement,Married,2,0
165474.83,4.52,97704.59,518,12,220832.9,0.4,0.749,0.59,1491.07,0.183,Poor,0,Self-employed,Home Purchase,Single,0,1
257200.85,4.4,66923.25,665,10,190081.32,0.42,1.353,0.26,2653.51,0.476,Fair,0,Salaried,Refinancing,Married,1,0
132883.89,3,66397.36,663,17,150000,0.37,0.886,0.5,832.35,0.15,Fair,0,Self-employed,Home Purchase,Married,1,1
202477.7,3,95607.33,721,10,241247.31,0.25,0.839,0.472,1955.14,0.245,Good,0,Self-employed,Refinancing,Single,0,0
198445.39,6,65681.26,840,20,241973.72,0.21,0.82,0.331,1421.72,0.26,Excellent,0,Self-employed,Home Purchase,Single,1,0
197111.27,5.17,85400.22,805,10,306135.87,0.31,0.644,0.433,2106.84,0.296,Excellent,0,Retired,Home Purchase,Single,1,0
